ts,SA,NSW
2018-08-25 13:17:34,50.280045,49.85083
2018-08-25 13:17:35,50.283112,49.848175
2018-08-25 13:17:36,50.286896,49.843285
2018-08-25 13:17:37,50.293091,49.839848
2018-08-25 13:17:38,50.300922,49.839561
2018-08-25 13:17:39,50.308472,49.842518
2018-08-25 13:17:40,50.313942,49.847191
2018-08-25 13:17:41,50.317101,49.851974
2018-08-25 13:17:42,50.317764,49.856747
2018-08-25 13:17:43,50.317661,49.859688
2018-08-25 13:17:44,50.317032,49.860348
2018-08-25 13:17:45,50.315166,49.856579
2018-08-25 13:17:46,50.314114,49.850582
2018-08-25 13:17:47,50.313038,49.841995
2018-08-25 13:17:48,50.31094,49.832886
2018-08-25 13:17:49,50.308132,49.824276
2018-08-25 13:17:50,50.30505,49.818821
2018-08-25 13:17:51,50.304607,49.815701
2018-08-25 13:17:52,50.304337,49.815063
2018-08-25 13:17:53,50.302029,49.818401
2018-08-25 13:17:54,50.299503,49.823006
2018-08-25 13:17:55,50.296459,49.825245
2018-08-25 13:17:56,50.293991,49.826637
2018-08-25 13:17:57,50.293026,49.82925
2018-08-25 13:17:58,50.293598,49.832508
2018-08-25 13:17:59,50.296127,49.833374
2018-08-25 13:18:00,50.299946,49.828991
2018-08-25 13:18:01,50.301723,49.822376
2018-08-25 13:18:02,50.303097,49.818001
2018-08-25 13:18:03,50.306019,49.814117
2018-08-25 13:18:04,50.311893,49.811954
2018-08-25 13:18:05,50.317863,49.812401
2018-08-25 13:18:06,50.321888,49.814423
2018-08-25 13:18:07,50.324623,49.816509
2018-08-25 13:18:08,50.32827,49.816837
2018-08-25 13:18:09,50.331947,49.816544
2018-08-25 13:18:10,50.334229,49.814045
2018-08-25 13:18:11,50.333736,49.812111
2018-08-25 13:18:12,50.330864,49.809216
2018-08-25 13:18:13,50.326591,49.804268
2018-08-25 13:18:14,50.325485,49.799332
2018-08-25 13:18:15,50.327461,49.797077
2018-08-25 13:18:16,50.330872,49.797298
2018-08-25 13:18:17,50.334293,49.802494
2018-08-25 13:18:18,50.337059,49.812477
2018-08-25 13:18:19,50.338997,49.828201
2018-08-25 13:18:20,50.33979,49.843082
2018-08-25 13:18:21,50.339298,49.853703
2018-08-25 13:18:22,50.338715,49.859516
2018-08-25 13:18:23,50.340897,49.86219
2018-08-25 13:18:24,50.345844,49.859009
2018-08-25 13:18:25,50.348537,49.852165
2018-08-25 13:18:26,50.346931,49.843216
2018-08-25 13:18:27,50.346043,49.831837
2018-08-25 13:18:28,50.34684,49.823437
2018-08-25 13:18:29,50.349316,49.814251
2018-08-25 13:18:30,50.353008,49.806313
2018-08-25 13:18:31,50.353237,49.796513
2018-08-25 13:18:32,50.349178,49.790977
2018-08-25 13:18:33,50.34407,49.792778
2018-08-25 13:18:34,50.340302,49.800934
2018-08-25 13:18:35,50.340748,49.812298
2018-08-25 13:18:36,50.347164,49.824337
2018-08-25 13:18:37,50.353497,49.836338
2018-08-25 13:18:38,50.360596,49.843994
2018-08-25 13:18:39,50.366188,49.849285
2018-08-25 13:18:40,50.364822,49.85125
2018-08-25 13:18:41,50.361206,49.85001
2018-08-25 13:18:42,50.359554,49.84409
2018-08-25 13:18:43,50.360481,49.833439
2018-08-25 13:18:44,50.364933,49.823689
2018-08-25 13:18:45,50.371452,49.814789
2018-08-25 13:18:46,50.378849,49.807491
2018-08-25 13:18:47,50.386486,49.799862
2018-08-25 13:18:48,50.392838,49.796848
2018-08-25 13:18:49,50.397854,49.801273
2018-08-25 13:18:50,50.400642,49.811321
2018-08-25 13:18:51,50.399227,49.823349
2018-08-25 13:18:52,50.397766,49.8316
2018-08-25 13:18:53,50.401684,49.834526
2018-08-25 13:18:54,50.409115,49.835712
2018-08-25 13:18:55,50.418518,49.835438
2018-08-25 13:18:56,50.428207,49.830502
