postcode,long,lat
2714,145.423,-35.755
2715,143.302,-33.966
2716,145.679,-35.155
2717,142.088,-34.088
2720,148.374,-35.441
2721,147.695,-34.015
2722,148.076,-34.997
2725,147.865,-34.466
2726,148.336,-34.795
2727,148.344,-34.978
2729,147.954,-35.276
2730,148.077,-35.546
2731,144.655,-35.895
2732,144.185,-35.482
2733,144.158,-35.04
2734,143.74,-35.141
2735,143.493,-35.158
2736,143.385,-34.985
2737,142.878,-34.355
2738,142.514,-34.239
2739,142.146,-34.152
2745,150.667,-33.863
2747,150.752,-33.731
2748,150.73,-33.808
2749,150.689,-33.693
2750,150.678,-33.753
2752,150.592,-33.925
2753,150.692,-33.617
2754,150.723,-33.556
2755,150.782,-33.602
2756,150.764,-33.301
2757,150.701,-33.55
2758,150.621,-33.486
2759,150.792,-33.806
2760,150.781,-33.761
2761,150.848,-33.739
2762,150.873,-33.704
2763,150.891,-33.729
2765,150.857,-33.652
2766,150.845,-33.796
2767,150.872,-33.765
2768,150.93,-33.728
2769,150.905,-33.705
2770,150.814,-33.756
2773,150.627,-33.765
2774,150.618,-33.733
2775,150.995,-33.28
2776,150.551,-33.685
2777,150.607,-33.692
2778,150.489,-33.721
2779,150.456,-33.728
2780,150.31,-33.703
2782,150.38,-33.722
2783,150.434,-33.72
2784,150.418,-33.729
2785,150.236,-33.701
2786,150.31,-33.512
2787,150.145,-33.893
2790,150.194,-33.458
2791,149.104,-33.589
2792,148.98,-33.643
2793,148.92,-33.805
2794,148.63,-33.877
2795,149.563,-33.513
2797,149.019,-33.726
2798,149.165,-33.444
2799,149.249,-33.591
2800,149.053,-33.284
2803,148.511,-34.137
2804,148.636,-33.544
2805,148.428,-33.664
2806,148.354,-33.412
2807,148.582,-34.021
2808,148.945,-33.98
2809,148.389,-34.029
2810,148.003,-33.85
2817,148.873,-31.422
2818,148.764,-32.447
2820,148.998,-32.564
2821,148.14,-32.257
2822,148.643,-31.93
2823,147.931,-32.005
2824,147.804,-31.357
2825,147.089,-31.679
2826,147.58,-31.93
2827,148.563,-31.65
2828,148.531,-31.279
2829,148.395,-30.792
2830,148.629,-32.201
2831,146.906,-31.115
2832,148.039,-29.949
2833,148.555,-29.383
2834,147.988,-29.27
2835,145.369,-31.706
2836,143.423,-30.911
2838,147.416,-29.248
2839,146.894,-29.809
2840,144.845,-29.918
2842,149.108,-31.757
2843,149.76,-31.793
2844,149.349,-32.036
2845,150.05,-33.42
2846,150.152,-33.139
2847,149.973,-33.357
2848,149.968,-32.929
2849,150.162,-32.768
2850,149.637,-32.633
2852,149.46,-32.282
2864,148.676,-33.335
2865,148.631,-33.16
2866,148.961,-33.01
2867,148.605,-32.901
2868,148.571,-32.731
2869,148.116,-32.649
2870,148.227,-33.085
2871,147.812,-33.458
2873,147.219,-32.286
2874,147.608,-32.563
2875,147.609,-32.916
2876,147.836,-33.115
2877,146.575,-32.807
2878,144.201,-32.783
2879,142.719,-32.442
2880,141.82,-30.812
2898,159.077,-31.553
2899,167.952,-29.038
2900,149.101,-35.478
2902,149.058,-35.386
2903,149.089,-35.4
2904,149.108,-35.409
2905,149.11,-35.432
2906,149.096,-35.461
2911,149.127,-35.214
2912,149.141,-35.177
2913,149.108,-35.183
2914,149.14,-35.169
3000,144.966,-37.815
3002,144.983,-37.814
3003,144.925,-37.809
3004,144.977,-37.835
3005,144.953,-37.823
3006,144.961,-37.826
3008,144.94,-37.818
3010,144.961,-37.796
3011,144.896,-37.799
3012,144.859,-37.803
3013,144.882,-37.818
3015,144.882,-37.838
3016,144.885,-37.859
3018,144.815,-37.86
3019,144.855,-37.787
3020,144.824,-37.783
3021,144.8,-37.743
3022,144.801,-37.776
3023,144.752,-37.76
3024,144.603,-37.833
3025,144.835,-37.838
3026,144.787,-37.83
3027,144.743,-37.862
3028,144.778,-37.876
3029,144.696,-37.83
3030,144.637,-37.908
3031,144.923,-37.79
3032,144.9,-37.775
3033,144.858,-37.74
3034,144.863,-37.762
3036,144.814,-37.697
3037,144.756,-37.7
3038,144.794,-37.707
3039,144.921,-37.766
3040,144.905,-37.752
3041,144.907,-37.729
3042,144.871,-37.725
3043,144.881,-37.7
3044,144.938,-37.732
3045,144.838,-37.674
3046,144.93,-37.706
3047,144.931,-37.681
3048,144.925,-37.653
3049,144.889,-37.671
3050,144.956,-37.799
3051,144.945,-37.798
3052,144.95,-37.785
3053,144.968,-37.8
3054,144.968,-37.786
3055,144.943,-37.763
3056,144.961,-37.766
3057,144.977,-37.769
3058,144.966,-37.738
3059,144.88,-37.637
3060,144.969,-37.705
3061,144.96,-37.664
3062,144.951,-37.635
3063,144.845,-37.589
3064,144.917,-37.56
3065,144.979,-37.801
3066,144.988,-37.802
3067,145,-37.804
3068,144.99,-37.786
3070,145,-37.773
3071,145.006,-37.758
3072,145.008,-37.742
3073,145.007,-37.712
3074,145.008,-37.684
3075,145.013,-37.667
3076,145.009,-37.639
3078,145.022,-37.783
3079,145.049,-37.769
3081,145.046,-37.742
3082,145.065,-37.664
3083,145.059,-37.697
3084,145.077,-37.747
3085,145.08,-37.723
3086,145.048,-37.722
3087,145.084,-37.705
3088,145.112,-37.698
3089,145.157,-37.668
3090,145.112,-37.667
3091,145.135,-37.638
3093,145.116,-37.739
3094,145.125,-37.719
3095,145.166,-37.711
3096,145.188,-37.667
3097,145.242,-37.689
3099,145.219,-37.581
3101,145.033,-37.803
3102,145.052,-37.791
3103,145.08,-37.809
3104,145.084,-37.792
3105,145.087,-37.769
3106,145.149,-37.754
3107,145.112,-37.764
3108,145.124,-37.785
3109,145.164,-37.779
3111,145.191,-37.79
3113,145.211,-37.74
3114,145.215,-37.777
3115,145.27,-37.736
3116,145.314,-37.739
3121,145.004,-37.823
3122,145.032,-37.825
3123,145.05,-37.831
3124,145.074,-37.838
3125,145.111,-37.85
3126,145.076,-37.824
3127,145.101,-37.824
3128,145.125,-37.829
3129,145.123,-37.805
3130,145.151,-37.823
3131,145.174,-37.827
3132,145.199,-37.818
3133,145.193,-37.848
3134,145.237,-37.792
3135,145.249,-37.822
3136,145.282,-37.791
3137,145.316,-37.819
3138,145.326,-37.781
3139,145.544,-37.813
3140,145.368,-37.756
3141,144.992,-37.839
3142,145.017,-37.842
3143,145.02,-37.857
3144,145.035,-37.855
3145,145.062,-37.877
3146,145.065,-37.856
3147,145.091,-37.867
3148,145.1,-37.882
3149,145.128,-37.878
3150,145.175,-37.892
3151,145.15,-37.854
3152,145.223,-37.866
3153,145.273,-37.837
3154,145.323,-37.856
3155,145.286,-37.856
3156,145.293,-37.921
3158,145.329,-37.905
3159,145.39,-37.921
3160,145.354,-37.931
3161,145.022,-37.872
3162,145.025,-37.891
3163,145.059,-37.894
3165,145.067,-37.922
3166,145.098,-37.902
3167,145.094,-37.924
3168,145.132,-37.917
3169,145.119,-37.943
3170,145.176,-37.926
3171,145.158,-37.946
3172,145.134,-37.974
3173,145.167,-38.005
3174,145.181,-37.964
3175,145.203,-38.019
3177,145.24,-37.991
3178,145.244,-37.924
3179,145.219,-37.902
3180,145.249,-37.891
3181,144.997,-37.853
3182,144.98,-37.863
3183,145,-37.868
3184,144.985,-37.881
3185,145.006,-37.886
3186,144.996,-37.908
3187,145.017,-37.917
3188,145.015,-37.938
3189,145.058,-37.941
3190,145.04,-37.95
3191,145.014,-37.953
3192,145.06,-37.964
3193,145.032,-37.978
3194,145.082,-37.98
3195,145.11,-38.006
3196,145.126,-38.048
3197,145.139,-38.071
3198,145.138,-38.105
3199,145.139,-38.16
3200,145.164,-38.124
3201,145.176,-38.093
3202,145.093,-37.956
3204,145.039,-37.916
3205,144.957,-37.834
3206,144.961,-37.847
3207,144.922,-37.833
3211,144.467,-37.932
3212,144.45,-38.021
3213,144.289,-37.97
3214,144.371,-38.074
3215,144.334,-38.109
3216,144.31,-38.188
3217,144.298,-38.251
3218,144.217,-38.116
3219,144.385,-38.173
3220,144.348,-38.155
3221,144.18,-38.16
3222,144.565,-38.202
3223,144.666,-38.153
3224,144.444,-38.186
3225,144.629,-38.249
3226,144.538,-38.26
3227,144.428,-38.261
3228,144.271,-38.332
3230,144.154,-38.381
3231,144.06,-38.452
3232,143.924,-38.534
3233,143.611,-38.757
3234,143.83,-38.633
3235,143.92,-38.439
3236,143.704,-38.523
3237,143.461,-38.667
3238,143.446,-38.728
3239,143.42,-38.574
3240,144.139,-38.253
3241,143.931,-38.26
3242,143.822,-38.334
3243,143.779,-38.438
3249,143.543,-38.369
3250,143.584,-38.34
3251,143.658,-38.141
3254,143.527,-38.296
3260,143.228,-38.192
3264,142.879,-38.239
3265,142.823,-38.241
3266,143.144,-38.415
3267,143.087,-38.461
3268,142.945,-38.515
3269,143.114,-38.633
3270,142.882,-38.588
3271,143.015,-37.91
3272,142.812,-37.974
3273,142.679,-37.983
3274,142.523,-37.953
3275,142.465,-38.288
3276,142.464,-38.122
3277,142.674,-38.411
3278,142.614,-38.273
3279,142.606,-38.234
3280,142.488,-38.367
3281,142.518,-38.255
3282,142.381,-38.294
3283,142.278,-38.232
3284,142.144,-38.266
3285,141.961,-38.261
3286,142.018,-38.033
3287,142.303,-38.054
3289,142.274,-37.897
3292,141.11,-38.066
3293,142.546,-37.733
3294,142.32,-37.594
3300,142.003,-37.79
3301,142.003,-37.786
3302,141.751,-37.839
3303,141.676,-37.962
3304,141.443,-38.011
3305,141.45,-38.235
3309,141.528,-37.811
3310,141.565,-37.73
3311,141.302,-37.579
3312,141.23,-37.493
3314,142.156,-37.388
3315,141.672,-37.468
3317,141.602,-37.144
3318,141.301,-37.04
3319,141.09,-36.912
3321,143.946,-38.1
3322,143.666,-38.033
3323,143.506,-38.012
3324,143.354,-37.927
3325,143.18,-37.899
3328,144.055,-38.024
3329,143.883,-37.987
3330,143.748,-37.927
3331,144.183,-37.986
3332,144.097,-37.956
3333,144.037,-37.872
3334,144.059,-37.757
3335,144.68,-37.705
3337,144.586,-37.628
3338,144.555,-37.756
3340,144.395,-37.742
3341,144.346,-37.585
3342,144.222,-37.631
3345,144.112,-37.567
3350,143.866,-37.573
3351,143.281,-37.688
3352,143.773,-37.581
3355,143.796,-37.516
3356,143.819,-37.587
3357,143.897,-37.652
3360,143.513,-37.739
3361,143.312,-37.711
3363,143.863,-37.392
3364,143.964,-37.312
3370,143.821,-37.262
3371,143.658,-37.202
3373,143.34,-37.464
3374,142.882,-37.167
3375,143.136,-37.392
3377,142.949,-37.273
3378,143.02,-37.512
3379,142.637,-37.539
3380,142.771,-37.058
3381,142.586,-37.161
3384,143.048,-36.997
3385,142.588,-36.875
3387,142.87,-36.826
3388,142.695,-36.628
3390,142.467,-36.565
3391,142.443,-36.051
3392,142.628,-36.413
3393,142.421,-36.194
3395,142.418,-35.913
3396,142.352,-35.709
3400,142.196,-36.719
3401,142.099,-36.836
3407,141.839,-37.288
3409,141.79,-36.85
3412,141.489,-36.671
3413,141.232,-36.709
3414,142.051,-36.336
3415,141.379,-36.374
3418,141.626,-36.278
3419,141.265,-36.386
3420,141.087,-36.209
3423,141.978,-36.098
3424,141.997,-35.825
3427,144.698,-37.621
3428,144.791,-37.635
3429,144.735,-37.55
3430,144.803,-37.487
3431,144.683,-37.445
3432,144.777,-37.438
3433,144.776,-37.401
3434,144.747,-37.352
3435,144.739,-37.226
3437,144.547,-37.502
3438,144.615,-37.452
3440,144.556,-37.428
3441,144.593,-37.393
3442,144.552,-37.333
3444,144.528,-37.136
3446,144.346,-37.187
3447,144.349,-37.141
3448,144.383,-37.052
3450,144.222,-37.059
3451,144.212,-37.107
3453,144.239,-36.934
3458,144.365,-37.455
3460,144.142,-37.339
3461,144.18,-37.307
3462,144.056,-37.113
3463,144.009,-36.934
3464,143.839,-37.03
3465,143.674,-37.035
3467,143.47,-37.082
3468,143.403,-37.213
3469,143.264,-37.175
3472,143.696,-36.856
3475,143.519,-36.726
3477,143.207,-36.684
3478,143.291,-36.827
3480,142.939,-36.35
3482,142.843,-36.137
3483,142.884,-35.913
3485,142.722,-35.696
3487,142.607,-35.556
3488,142.464,-35.442
3489,142.45,-35.293
3490,141.62,-35.141
3491,142.188,-35.435
3494,142.179,-34.519
3496,141.576,-34.348
3498,142.169,-34.253
3500,142.124,-34.208
3501,142.292,-34.656
3505,141.872,-34.188
3506,141.365,-35.188
3507,142.046,-35.099
3509,141.764,-35.162
3512,141.107,-35.166
3515,144.08,-36.803
3516,144.012,-36.625
3517,143.87,-36.463
3518,143.642,-36.404
3520,143.767,-36.356
3521,144.859,-37.114
3522,144.781,-37.048
3523,144.737,-36.85
3525,143.426,-36.249
3527,143.282,-36.037
3529,143.195,-35.849
3530,143.159,-35.729
3531,142.962,-35.621
3533,142.801,-35.383
3537,143.713,-36.052
3540,143.524,-35.836
3542,143.436,-35.666
3544,143.184,-35.475
3546,142.911,-35.088
3549,142.777,-34.788
3550,144.293,-36.758
3551,144.29,-36.759
3555,144.243,-36.806
3556,144.189,-36.649
3557,144.524,-36.655
3558,144.607,-36.491
3559,144.791,-36.56
3561,144.683,-36.34
3562,144.528,-36.046
3563,144.499,-36.271
3564,144.64,-36.122
3565,144.525,-36.192
3566,144.355,-35.949
3567,144.276,-35.909
3568,144.192,-35.814
3570,144.27,-36.501
3571,144.18,-36.385
3572,144.321,-36.319
3573,144.274,-36.194
3575,144.109,-36.067
3576,143.914,-36.122
3579,143.844,-35.731
3580,144.109,-35.644
3581,143.818,-35.594
3583,143.69,-35.504
3584,143.642,-35.467
3585,143.395,-35.382
3586,143.538,-35.328
3588,143.448,-35.294
3589,143.448,-35.252
3590,143.473,-35.224
3591,143.399,-35.212
3594,143.363,-35.147
3595,143.336,-35.184
3596,143.236,-35.146
3597,143.155,-34.903
3599,143.094,-34.738
3607,145.17,-36.845
3608,145.134,-36.763
3610,145.223,-36.593
3612,145.036,-36.61
3614,145.313,-36.492
3616,145.173,-36.434
3617,145.165,-36.412
3618,145.15,-36.368
3620,145.074,-36.278
3621,144.968,-36.226
3622,144.831,-36.244
3623,144.942,-36.463
3624,144.95,-36.4
3629,145.267,-36.296
3630,145.538,-36.437
3631,145.479,-36.445
3633,145.469,-36.295
3634,145.471,-36.238
3635,145.34,-36.156
3636,145.506,-36.103
3637,145.293,-35.965
3638,145.169,-36.035
3639,145.039,-35.977
3640,145.465,-36
3641,145.444,-35.896
3644,145.666,-35.901
3646,145.708,-36.262
3647,145.7,-36.394
3649,145.705,-36.067
3658,145.152,-37.289
3659,145.132,-37.128
3660,145.265,-37.056
3662,144.949,-36.936
3663,145.165,-36.926
3664,145.295,-36.922
3665,145.36,-36.82
3666,145.548,-36.803
3669,145.749,-36.649
3670,145.877,-36.647
3672,145.997,-36.579
3673,146.078,-36.668
3675,146.208,-36.478
3677,146.316,-36.369
3678,146.438,-36.601
3682,146.42,-36.16
3683,146.603,-36.179
